Symbol,Cluster
IPG,3
USB,3
ETR,3
VRSK,3
MMC,3
TRGP,3
BAC,3
APTV,3
HRL,3
WELL,3
XRAY,3
GNRC,3
PODD,6
BG,1
WYNN,5
J,5
ABBV,3
TSN,1
CPRT,5
NEE,1
AXON,1
MLM,3
PKG,1
VTR,3
CEG,1
CVS,3
COR,1
AZO,1
GIS,3
UPS,3
BR,3
EMR,1
AIZ,3
UNH,1
MSI,3
SJM,3
ETSY,5
META,3
TAP,3
BWA,3
IBM,3
JNJ,3
FTNT,3
AAPL,3
JKHY,3
GEHC,3
MS,3
FANG,1
AMAT,3
AON,3
T,3
WBD,3
TECH,3
EQR,5
ROK,1
LUV,3
ESS,5
RCL,6
NTAP,1
HBAN,1
PARA,3
EXR,3
MDT,3
COST,3
SBAC,3
BK,3
MRK,3
NDSN,3
BX,3
LVS,1
CHD,1
ACN,3
ALLE,3
KVUE,3
PH,3
INTU,3
HII,3
APD,3
DAL,3
WMT,3
TMO,5
TYL,1
TROW,3
TT,3
SYF,1
LEN,1
MTCH,1
MRO,3
PRU,1
WRK,3
PPL,1
DLR,3
NSC,3
MAS,3
PEAK,3
DIS,3
NDAQ,3
CBRE,1
LOW,3
AME,3
RTX,3
ZBRA,3
IRM,3
ETN,1
CMCSA,3
LIN,3
SO,3
MGM,3
LYV,1
MDLZ,3
RJF,3
AAL,2
TJX,3
VRTX,5
KHC,1
CAH,1
CSGP,3
IR,1
PWR,3
AMT,3
RMD,3
RHI,3
IVZ,3
ADP,3
BRO,5
GD,3
INTC,3
WST,6
EOG,3
HST,3
FCX,3
ORCL,3
ULTA,3
CTLT,3
CTAS,3
BRK.B,3
BDX,4
CI,3
ICE,3
ITW,3
NEM,5
ROL,3
PFG,1
NWSA,5
CPB,1
AJG,3
HAL,1
IDXX,1
KIM,3
CDAY,3
WEC,3
AMCR,3
ELV,3
DGX,3
FAST,3
BAX,1
GLW,3
GPC,3
VICI,3
MOS,1
CARR,3
PAYC,3
ROP,3
KO,3
DUK,1
TXT,1
KEY,3
CNC,3
C,1
BIO,1
BEN,3
SEDG,7
AVY,1
RL,3
RSG,3
AOS,3
CHTR,3
LH,3
BSX,3
BLK,3
VZ,3
AMZN,3
CMA,3
DXCM,3
EL,3
UDR,3
MO,1
MPWR,1
PSA,3
TFC,3
HIG,3
PCAR,1
CPT,3
WHR,3
HLT,3
MTB,1
SPGI,3
BKNG,3
DTE,3
MKC,6
OXY,3
AVB,3
EXPD,3
O,3
CTVA,3
MA,5
XOM,3
ROST,3
MU,3
NOC,3
MCK,3
CE,1
NCLH,2
FDX,3
FICO,3
ABT,3
MET,1
ALL,1
REGN,1
ADBE,3
FTV,6
CZR,3
VFC,3
COF,3
VMC,3
TTWO,1
GWW,3
ADI,3
CCL,5
K,1
BIIB,5
AVGO,3
HON,3
DE,3
PLD,3
EIX,3
WAT,3
MOH,1
KMI,1
LRCX,3
MNST,1
PFE,4
MCD,3
ACGL,3
PAYX,3
STLD,5
AMD,2
PXD,3
LKQ,3
EPAM,3
WFC,3
MCHP,3
QCOM,3
LYB,1
NI,1
LDOS,3
JBHT,3
XYL,3
ZBH,3
ON,3
LNT,3
AWK,3
NOW,3
WBA,3
KLAC,3
DOV,3
ADM,1
TSCO,1
CL,1
MAR,1
TPR,3
EVRG,3
ZION,3
AES,3
TEL,3
VRSN,1
ALGN,3
HOLX,3
PPG,3
KDP,5
CRL,3
A,3
ABNB,1
WMB,3
PEP,3
EQT,3
IQV,3
CTSH,3
CNP,3
GM,1
TDG,5
DVN,3
OTIS,1
FLT,3
INVH,3
MSFT,3
UAL,3
GOOGL,3
ED,3
FITB,3
HAS,3
L,3
TFX,5
ENPH,2
DHI,1
STE,3
AIG,5
TSLA,2
TRV,3
SYK,1
TMUS,3
HD,3
CHRW,3
HUM,1
MAA,3
URI,3
CBOE,1
MPC,3
NXPI,3
AFL,1
PM,3
LHX,3
ALK,1
HCA,3
HSY,1
STX,1
CVX,5
LW,1
DFS,3
OMC,1
HPQ,3
HUBB,3
ATO,3
ANSS,1
CCI,3
FDS,3
POOL,1
DD,3
ANET,3
RVTY,3
CAT,3
VLO,3
TXN,4
F,3
DLTR,3
GS,3
PCG,3
DRI,6
JPM,3
GILD,3
AEP,3
NTRS,3
WAB,1
PG,3
GL,1
DVA,3
BKR,3
CME,3
FI,3
CMI,3
APH,3
AEE,5
ISRG,3
LLY,1
FRT,3
IFF,1
REG,3
IEX,3
MHK,3
SEE,3
MKTX,3
GOOG,3
HSIC,1
EG,3
EA,3
SBUX,3
NUE,3
KMX,3
ECL,3
BA,3
EFX,3
EXC,1
MRNA,4
BXP,3
ORLY,3
CAG,1
GEN,1
HPE,1
TER,3
IT,3
NWS,5
WTW,1
CSCO,3
SNPS,3
CINF,3
CSX,3
BF.B,1
SWK,3
PTC,3
FOX,3
AMP,1
STT,3
AXP,3
PANW,3
BBWI,1
CRM,3
CMG,3
YUM,5
EMN,3
UNP,5
TRMB,3
KMB,1
CLX,3
HES,5
FFIV,5
SWKS,1
BMY,1
PYPL,3
JNPR,1
EQIX,3
FSLR,5
SHW,3
LMT,3
AMGN,1
SNA,3
TGT,1
FMC,1
BBY,5
CDW,3
V,3
COP,3
LULU,3
TDY,3
WDC,3
HWM,3
VTRS,1
COO,3
SCHW,3
SLB,1
XEL,3
DHR,3
UHS,1
WY,1
NKE,3
JCI,5
OKE,3
DG,5
QRVO,3
MSCI,3
CFG,3
FE,3
ES,3
GRMN,1
ADSK,4
GE,1
GPN,1
SYY,3
KR,1
PSX,3
CB,3
EXPE,3
PNW,3
EBAY,5
PEG,3
NFLX,3
FIS,3
STZ,3
ALB,3
ARE,3
ODFL,3
D,1
PNR,3
PNC,3
FOXA,3
PGR,1
MCO,1
PHM,1
INCY,1
WRB,3
CDNS,1
AKAM,5
NVDA,5
ILMN,3
CF,3
BALL,1
APA,1
SPG,3
MTD,3
NVR,3
DPZ,3
NRG,3
DOW,1
EW,3
KEYS,3
ZTS,3
CMS,3
IP,1
SRE,3
WM,1
MMM,3
CTRA,3
RF,1
